scenario,plan,seed,execution_time,timeout
0,1,2,6.866731405258179,600
0,2,4,6.54472541809082,600
0,3,6,7.032201766967773,600
0,4,8,7.656503677368164,600
0,5,10,7.755297899246216,600
1,1,12,198.77893447875977,600
1,2,14,197.80548882484436,600
1,3,16,213.85316276550293,600
1,4,18,211.54569721221924,600
1,5,20,200.94847583770752,600
2,1,22,222.417222738266,600
2,2,24,201.28017139434814,600
2,3,26,209.07149624824524,600
2,4,28,208.08132410049438,600
2,5,30,213.13669300079346,600
3,1,32,250.4860541820526,600
3,2,34,288.53100180625916,600
3,3,36,285.86068391799927,600
3,4,38,265.6171772480011,600
3,5,40,256.59272050857544,600
4,1,42,263.92501425743103,600
4,2,44,238.33013105392456,600
4,3,46,239.5504686832428,600
4,4,48,268.5313799381256,600
4,5,50,274.8731756210327,600
5,1,52,13.774458646774292,600
5,2,54,14.350207805633545,600
5,3,56,13.56518268585205,600
5,4,58,13.708182096481323,600
5,5,60,13.73103928565979,600
