scenario,plan,seed,execution_time,timeout
1,1,12,195.8871123790741,600
1,2,14,195.74487853050232,600
1,3,16,211.64484024047852,600
1,4,18,200.4414827823639,600
1,5,20,197.8990113735199,600
2,1,22,200.47343182563782,600
2,2,24,208.08136081695557,600
2,3,26,205.22480368614197,600
2,4,28,210.21140837669373,600
2,5,30,215.67205142974854,600
3,1,32,285.93300771713257,600
3,2,34,261.5025587081909,600
3,3,36,253.83088970184326,600
3,4,38,286.73363399505615,600
3,5,40,299.3752992153168,600
4,1,42,220.50533938407898,600
4,2,44,235.5134105682373,600
4,3,46,301.35505414009094,600
4,4,48,5.288740873336792,600
4,5,50,5.988464593887329,600
5,1,52,6.126004457473755,600
5,2,54,4.8670127391815186,600
5,3,56,4.717923164367676,600
5,4,58,4.894274950027466,600
5,5,60,4.625272512435913,600
